name,time,bytes,frame
AK12_D1_C_2147482109,0.437,151,1274
AK12_D1_C_2147482109,0.148,94,1275
AK12_D1_C_2147482109,0.126,94,1279
AK12_D1_C_2147482109,0.081,10,1298
AK12_D1_C_2147482109,0.064,10,1312
AK12_D1_C_2147482109,0.057,10,1319
AK12_D1_C_2147482109,0.163,10,1328
AK12_D1_C_2147482109,0.058,10,1331
AK12_D1_C_2147482109,0.058,10,1332
AK12_D1_C_2147482109,0.042,5,1333
AK12_D1_C_2147482109,0.161,10,1336
AK12_D1_C_2147482109,0.058,10,1339
AK12_D1_C_2147482109,0.057,10,1340
AK12_D1_C_2147482109,0.061,10,1350
AK12_D1_C_2147482109,0.053,10,1358
AK12_D1_C_2147482109,0.054,10,1366
AK12_D1_C_2147482109,0.061,10,1416
AK12_D1_C_2147482109,0.057,10,1418
AK12_D1_C_2147482109,0.053,10,1420
AK12_D1_C_2147482109,0.052,10,1426
AK12_D1_C_2147482109,0.055,10,1772
AK12_D1_C_2147482109,0.052,10,1777
AK12_D1_C_2147482109,0.07,10,1795
AK12_D1_C_2147482109,0.068,10,1796
AK12_D1_C_2147482109,0.056,10,1871
AK12_D1_C_2147482109,0.07,80,1887
AK12_D1_C_2147482109,0.056,10,1888
AK12_D1_C_2147482109,0.056,10,1889
AK12_D1_C_2147482109,0.054,10,1890
AK12_D1_C_2147482109,0.055,10,1891
AK12_D1_C_2147482109,0.054,10,1892
AK12_D1_C_2147482109,0.049,10,1893
AK12_D1_C_2147482109,0.064,80,1894
AK12_D1_C_2147482109,0.049,10,1895
AK12_D1_C_2147482109,0.048,10,1896
AK12_D1_C_2147482109,0.049,10,1897
AK12_D1_C_2147482109,0.054,10,1898
AK12_D1_C_2147482109,0.046,10,1899
AK12_D1_C_2147482109,0.046,10,1900
AK12_D1_C_2147482109,0.063,80,1901
AK12_D1_C_2147482109,0.056,10,1902
AK12_D1_C_2147482109,0.05,10,1903
AK12_D1_C_2147482109,0.06,10,1904
AK12_D1_C_2147482109,0.057,10,1905
AK12_D1_C_2147482109,0.06,10,1906
AK12_D1_C_2147482109,0.059,10,1907
AK12_D1_C_2147482109,0.073,80,1908
AK12_D1_C_2147482109,0.061,10,1909
AK12_D1_C_2147482109,0.059,10,1910
AK12_D1_C_2147482109,0.058,10,1911
AK12_D1_C_2147482109,0.06,10,1912
AK12_D1_C_2147482109,0.058,10,1913
AK12_D1_C_2147482109,0.056,10,1914
AK12_D1_C_2147482109,0.057,10,1915
AK12_D1_C_2147482109,0.058,10,1916
AK12_D1_C_2147482109,0.067,10,1917
AK12_D1_C_2147482109,0.055,10,1918
AK12_D1_C_2147482109,0.058,10,1919
AK12_D1_C_2147482109,0.06,17,1920
AK12_D1_C_2147482109,0.055,10,1921
AK12_D1_C_2147482109,0.056,10,1922
AK12_D1_C_2147482109,0.072,86,1943
AK12_D1_C_2147482109,0.065,10,1944
AK12_D1_C_2147482109,0.063,10,1945
AK12_D1_C_2147482109,0.062,10,1946
AK12_D1_C_2147482109,0.061,10,1947
AK12_D1_C_2147482109,0.059,10,1948
AK12_D1_C_2147482109,0.062,10,1949
AK12_D1_C_2147482109,0.077,80,1950
AK12_D1_C_2147482109,0.064,10,1951
AK12_D1_C_2147482109,0.064,10,1952
AK12_D1_C_2147482109,0.061,10,1953
AK12_D1_C_2147482109,0.059,10,1954
AK12_D1_C_2147482109,0.064,10,1955
AK12_D1_C_2147482109,0.088,10,1956
AK12_D1_C_2147482109,0.079,169,1957
AK12_D1_C_2147482109,0.06,10,1958
AK12_D1_C_2147482109,0.058,10,1959
AK12_D1_C_2147482109,0.087,10,1960
AK12_D1_C_2147482109,0.058,10,1961
AK12_D1_C_2147482109,0.053,10,1962
AK12_D1_C_2147482109,0.059,10,1963
AK12_D1_C_2147482109,0.063,170,1964
AK12_D1_C_2147482109,0.05,10,1965
AK12_D1_C_2147482109,0.048,10,1966
AK12_D1_C_2147482109,0.052,10,1967
AK12_D1_C_2147482109,0.05,10,1968
AK12_D1_C_2147482109,0.05,10,1969
AK12_D1_C_2147482109,0.048,10,1970
AK12_D1_C_2147482109,0.066,169,1971
AK12_D1_C_2147482109,0.057,10,1972
AK12_D1_C_2147482109,0.057,10,1973
AK12_D1_C_2147482109,0.059,10,1974
AK12_D1_C_2147482109,0.058,10,1975
AK12_D1_C_2147482109,0.058,10,1976
AK12_D1_C_2147482109,0.06,10,1977
AK12_D1_C_2147482109,0.059,10,1978
AK12_D1_C_2147482109,0.059,10,1979
AK12_D1_C_2147482109,0.057,10,1980
AK12_D1_C_2147482109,0.068,10,1981
AK12_D1_C_2147482109,0.073,10,1982
AK12_D1_C_2147482109,0.062,17,1983
AK12_D1_C_2147482109,0.059,10,1984
AK12_D1_C_2147482109,0.059,10,1985
AK12_D1_C_2147482109,0.052,10,2020
AK12_D1_C_2147482109,0.052,10,2021
AK12_D1_C_2147482109,0.069,80,2097
AK12_D1_C_2147482109,0.054,10,2098
AK12_D1_C_2147482109,0.071,10,2099
AK12_D1_C_2147482109,0.057,10,2100
AK12_D1_C_2147482109,0.064,10,2101
AK12_D1_C_2147482109,0.052,10,2102
AK12_D1_C_2147482109,0.053,10,2103
AK12_D1_C_2147482109,0.067,80,2104
AK12_D1_C_2147482109,0.053,10,2105
AK12_D1_C_2147482109,0.053,10,2106
AK12_D1_C_2147482109,0.052,10,2107
AK12_D1_C_2147482109,0.052,10,2108
AK12_D1_C_2147482109,0.053,10,2109
AK12_D1_C_2147482109,0.047,10,2110
AK12_D1_C_2147482109,0.061,80,2111
AK12_D1_C_2147482109,0.052,10,2112
AK12_D1_C_2147482109,0.053,10,2113
AK12_D1_C_2147482109,0.054,10,2114
AK12_D1_C_2147482109,0.054,10,2115
AK12_D1_C_2147482109,0.052,10,2116
AK12_D1_C_2147482109,0.055,10,2117
AK12_D1_C_2147482109,0.075,80,2118
AK12_D1_C_2147482109,0.062,10,2119
AK12_D1_C_2147482109,0.054,10,2120
AK12_D1_C_2147482109,0.056,10,2121
AK12_D1_C_2147482109,0.053,10,2122
AK12_D1_C_2147482109,0.054,10,2123
AK12_D1_C_2147482109,0.053,10,2124
AK12_D1_C_2147482109,0.064,80,2125
AK12_D1_C_2147482109,0.063,10,2126
AK12_D1_C_2147482109,0.053,10,2127
AK12_D1_C_2147482109,0.056,10,2128
AK12_D1_C_2147482109,0.057,10,2129
AK12_D1_C_2147482109,0.06,10,2130
AK12_D1_C_2147482109,0.054,10,2131
AK12_D1_C_2147482109,0.053,10,2132
AK12_D1_C_2147482109,0.053,10,2133
AK12_D1_C_2147482109,0.053,10,2134
AK12_D1_C_2147482109,0.054,10,2135
AK12_D1_C_2147482109,0.052,10,2136
AK12_D1_C_2147482109,0.059,17,2137
AK12_D1_C_2147482109,0.053,10,2138
AK12_D1_C_2147482109,0.052,10,2139
AK12_D1_C_2147482109,0.059,10,2145
AK12_D1_C_2147482109,0.057,10,2149
AK12_D1_C_2147482109,0.055,10,2156
AK12_D1_C_2147482109,0.059,10,2163
AK12_D1_C_2147482109,0.055,10,2172
AK12_D1_C_2147482109,0.056,10,2212
AK12_D1_C_2147482109,0.058,10,2213
AK12_D1_C_2147482109,0.056,10,2278
AK12_D1_C_2147482109,0.072,81,2305
AK12_D1_C_2147482109,0.066,10,2306
AK12_D1_C_2147482109,0.059,10,2307
AK12_D1_C_2147482109,0.056,10,2308
AK12_D1_C_2147482109,0.057,10,2309
AK12_D1_C_2147482109,0.061,10,2310
AK12_D1_C_2147482109,0.056,10,2311
AK12_D1_C_2147482109,0.078,166,2312
AK12_D1_C_2147482109,0.056,10,2313
AK12_D1_C_2147482109,0.052,10,2314
AK12_D1_C_2147482109,0.062,10,2315
AK12_D1_C_2147482109,0.071,10,2316
AK12_D1_C_2147482109,0.081,10,2317
AK12_D1_C_2147482109,0.061,10,2318
AK12_D1_C_2147482109,0.07,81,2319
AK12_D1_C_2147482109,0.098,61,2320
AK12_D1_C_2147482109,0.052,10,2321
AK12_D1_C_2147482109,0.049,10,2322
AK12_D1_C_2147482109,0.048,10,2323
AK12_D1_C_2147482109,0.048,10,2324
AK12_D1_C_2147482109,0.049,10,2325
AK12_D1_C_2147482109,0.054,10,2326
AK12_D1_C_2147482109,0.05,10,2327
AK12_D1_C_2147482109,0.049,10,2328
AK12_D1_C_2147482109,0.048,10,2329
AK12_D1_C_2147482109,0.056,10,2330
AK12_D1_C_2147482109,0.067,17,2331
AK12_D1_C_2147482109,0.048,10,2332
AK12_D1_C_2147482109,0.057,10,2333
AK12_D1_C_2147482109,0.068,46,2798
AK12_D1_C_2147482109,0.091,10,2810
AK12_D1_C_2147482109,0.046,5,2857
AK12_D1_C_2147482109,0.057,10,2867
AK12_D1_C_2147482109,0.053,10,2875
AK12_D1_C_2147482109,0.062,10,2884
AK12_D1_C_2147482109,0.053,10,2895
AK12_D1_C_2147482109,0.056,10,2938
AK12_D1_C_2147482109,0.054,10,2942
AK12_D1_C_2147482109,0.057,10,3189
AK12_D1_C_2147482109,0.067,10,3191
AK12_D1_C_2147482109,0.065,10,3220
AK12_D1_C_2147482109,0.053,10,3232
AK12_D1_C_2147482109,0.063,10,3274
AK12_D1_C_2147482109,0.058,10,3279
AK12_D1_C_2147482109,0.055,10,3356
AK12_D1_C_2147482109,0.059,10,3357
AK12_D1_C_2147482109,0.054,10,3425
AK12_D1_C_2147482109,0.058,10,3439
AK12_D1_C_2147482109,0.08,10,3446
AK12_D1_C_2147482109,0.068,10,3455
AK12_D1_C_2147482109,0.055,10,3457
AK12_D1_C_2147482109,0.057,10,3471
AK12_D1_C_2147482109,0.055,10,3479
AK12_D1_C_2147482109,0.072,10,3488
AK12_D1_C_2147482109,0.058,10,3537
AK12_D1_C_2147482109,0.068,10,3539
AK12_D1_C_2147482109,0.062,10,3547
AK12_D1_C_2147482109,0.058,10,3556
AK12_D1_C_2147482109,0.058,10,3735
AK12_D1_C_2147482109,0.06,10,3740
AK12_D1_C_2147482109,0.12,74,3836
AK12_D1_C_2147482109,0.059,10,3837
AK12_D1_C_2147482109,0.106,10,3838
AK12_D1_C_2147482109,0.053,10,3839
AK12_D1_C_2147482109,0.053,10,3840
AK12_D1_C_2147482109,0.052,10,3841
AK12_D1_C_2147482109,0.056,10,3842
AK12_D1_C_2147482109,0.071,79,3843
AK12_D1_C_2147482109,0.057,10,3844
AK12_D1_C_2147482109,0.048,10,3845
AK12_D1_C_2147482109,0.054,10,3846
AK12_D1_C_2147482109,0.056,10,3847
AK12_D1_C_2147482109,0.051,10,3848
AK12_D1_C_2147482109,0.053,10,3849
AK12_D1_C_2147482109,0.067,79,3850
AK12_D1_C_2147482109,0.054,10,3851
AK12_D1_C_2147482109,0.061,10,3852
AK12_D1_C_2147482109,0.051,10,3853
AK12_D1_C_2147482109,0.052,10,3854
AK12_D1_C_2147482109,0.053,10,3855
AK12_D1_C_2147482109,0.071,10,3856
AK12_D1_C_2147482109,0.071,79,3857
AK12_D1_C_2147482109,0.055,10,3858
AK12_D1_C_2147482109,0.053,10,3859
AK12_D1_C_2147482109,0.052,10,3860
AK12_D1_C_2147482109,0.062,10,3861
AK12_D1_C_2147482109,0.058,10,3862
AK12_D1_C_2147482109,0.061,10,3863
AK12_D1_C_2147482109,0.07,79,3864
AK12_D1_C_2147482109,0.054,10,3865
AK12_D1_C_2147482109,0.064,10,3866
AK12_D1_C_2147482109,0.078,10,3867
AK12_D1_C_2147482109,0.055,10,3868
AK12_D1_C_2147482109,0.054,10,3869
AK12_D1_C_2147482109,0.054,10,3870
AK12_D1_C_2147482109,0.054,10,3871
AK12_D1_C_2147482109,0.084,10,3872
AK12_D1_C_2147482109,0.054,10,3873
AK12_D1_C_2147482109,0.055,10,3874
AK12_D1_C_2147482109,0.055,10,3875
AK12_D1_C_2147482109,0.057,17,3876
AK12_D1_C_2147482109,0.062,10,3877
AK12_D1_C_2147482109,0.082,10,3878
AK12_D1_C_2147482109,0.103,127,3898
AK12_D1_C_2147482109,0.058,10,3899
AK12_D1_C_2147482109,0.05,10,3900
AK12_D1_C_2147482109,0.054,10,3901
AK12_D1_C_2147482109,0.054,10,3902
AK12_D1_C_2147482109,0.068,10,3903
AK12_D1_C_2147482109,0.054,10,3904
AK12_D1_C_2147482109,0.07,92,3905
AK12_D1_C_2147482109,0.102,10,3906
AK12_D1_C_2147482109,0.051,10,3907
AK12_D1_C_2147482109,0.056,10,3908
AK12_D1_C_2147482109,0.051,10,3909
AK12_D1_C_2147482109,0.054,10,3910
AK12_D1_C_2147482109,0.133,80,3911
AK12_D1_C_2147482109,0.051,10,3912
AK12_D1_C_2147482109,0.054,10,3913
AK12_D1_C_2147482109,0.078,10,3914
AK12_D1_C_2147482109,0.054,10,3915
AK12_D1_C_2147482109,0.061,10,3916
AK12_D1_C_2147482109,0.063,10,3917
AK12_D1_C_2147482109,0.097,121,3918
AK12_D1_C_2147482109,0.055,10,3919
AK12_D1_C_2147482109,0.057,10,3920
AK12_D1_C_2147482109,0.053,10,3921
AK12_D1_C_2147482109,0.063,10,3922
AK12_D1_C_2147482109,0.052,10,3923
AK12_D1_C_2147482109,0.047,10,3924
AK12_D1_C_2147482109,0.104,121,3925
AK12_D1_C_2147482109,0.059,10,3926
AK12_D1_C_2147482109,0.051,10,3927
AK12_D1_C_2147482109,0.05,10,3928
AK12_D1_C_2147482109,0.05,10,3929
AK12_D1_C_2147482109,0.051,10,3930
AK12_D1_C_2147482109,0.052,10,3931
AK12_D1_C_2147482109,0.05,10,3932
AK12_D1_C_2147482109,0.064,10,3933
AK12_D1_C_2147482109,0.053,10,3934
AK12_D1_C_2147482109,0.052,10,3935
AK12_D1_C_2147482109,0.058,10,3936
AK12_D1_C_2147482109,0.056,17,3937
AK12_D1_C_2147482109,0.052,10,3938
AK12_D1_C_2147482109,0.055,10,3939
AK12_D1_C_2147482109,0.052,10,3981
AK12_D1_C_2147482109,0.054,10,3985
AK12_D1_C_2147482109,0.052,10,4089
AK12_D1_C_2147482109,0.055,10,4108
AK12_D1_C_2147482109,0.055,10,4115
AK12_D1_C_2147482109,0.056,10,4124
AK12_D1_C_2147482109,0.071,126,4128
